vehicleplatenumber,rapid_times,deceleration_times,fatigueDriving_times,idlePreheating_times,overlongIdle_times,coastingEngineoff_times,speeding_times,changeRoad_times,safeMiles_flag,speed_stabilization,lowVisibilitySpeeding_times,crossWind_time,highWind_time,adverseweatherSpeeding_times,average_speed,againstWind_time,diseconomicSpeed_rate,safescorebyPredict,totalscorebyPredict
AB00365,91,94,0,2,18,0,2,0,0,0.796770583,0,0,0,0,68.69434488,0,0.476636134,79.84187624,78.59221851
AB00370,98,110,0,1,6,0,0,0,0,0.787831752,0,0,0,0,47.69096015,0,0.999777124,79.34608384,74.21702797
AB00380,110,102,0,0,12,0,0,0,0,0.779441276,0,0,0,0,36.80537293,0,1,79.7807317,74.6619233
AB00386,157,164,3,6,15,0,319,0,0,0.814021083,0,0,0,0,70.03252383,0,0.779366173,38.57498595,43.61149015
AB00395,41,41,0,2,6,0,0,0,0,0.811791349,0,0,0,0,56.1014975,0,0.820743206,81.67452695,77.36598375
AB00407,90,81,0,1,5,0,0,0,0,0.83625317,0,0,0,0,32.24257274,0,1,80.41960793,74.50621094
AB00425,108,118,1,7,10,0,0,0,0,0.807132311,0,0,0,0,53.86310334,0,0.996330761,73.87797261,69.66023894
AB00435,132,139,0,0,13,0,0,0,0,0.783656909,0,0,0,0,49.94867974,0,0.999161738,78.58037511,73.43791277
AB00440,253,271,0,6,16,0,0,0,0,0.792168098,0,0,0,0,41.64542099,0,0.99886651,73.73621699,68.54204027
AB00451,67,69,0,2,12,0,0,0,0,0.749097192,0,0,0,0,44.00822681,0,1,80.70477392,76.18388129
AB00452,254,274,0,4,24,0,0,0,0,0.825931074,0,0,0,0,43.31738959,0,0.999930377,74.01690479,68.28592823
AB00453,225,254,2,2,17,0,0,0,0,0.814336374,0,0,0,0,49.21900755,0,0.999282267,66.85331891,62.87317416
AB00457,52,47,0,0,6,0,0,0,0,0.777600394,0,0,0,0,41.28475602,0,0.999605419,81.43257717,76.28852071
AB00458,113,105,1,3,15,0,0,0,0,0.792489898,0,0,0,0,50.13808052,0,0.990471285,74.88588232,70.22347105
AB00465,294,313,1,1,26,0,3,0,0,0.821489199,0,0,0,0,64.89934199,0,0.691742249,68.64784756,68.95068708
AD00003,164,186,0,7,16,0,0,0,0,0.809372536,0,0,0,0,49.53479331,0,0.929664372,76.7112201,72.64886718
AD00009,178,193,0,0,35,0,0,0,0,0.762857481,0,0,0,225,46.13978789,0,0.800012155,76.7974938,74.70797958
AD00013,457,571,0,0,65,0,0,0,0,0.824677999,0,0,0,0,39.40398139,0,0.996126799,66.26587085,58.64902902
AD00014,364,418,0,8,47,0,0,0,0,0.823200849,0,0,0,0,41.8735093,0,0.987923661,69.2377099,63.03697867
AD00015,103,117,1,3,1,0,0,0,0,0.796304278,0,0,0,0,45.47338156,0,1,74.01898746,69.53273267
AD00016,151,164,1,0,15,0,0,0,0,0.786769736,0,0,0,0,50.42791585,0,0.984132114,73.32550752,68.84852925
AD00017,359,395,0,11,11,0,0,0,0,0.79626062,0,0,0,0,45.5656418,0,0.992282059,68.63921968,63.90607053
AD00018,231,288,0,0,15,0,0,0,0,0.783082571,0,0,0,0,49.14757427,0,0.996161122,73.56010244,69.13655229
AD00019,633,681,0,1,121,0,103,0,0,0.72418353,0,0,0,0,62.96395816,0,0.800443847,56.99789907,53.55226845
AD00020,389,417,0,32,61,0,1,0,0,0.730713986,0,0,0,3806,57.65040718,0,0.692658207,56.79885917,59.91695296
AD00021,689,690,4,37,62,0,17,0,0,0.753419535,0,0,0,0,61.10272519,0,0.696673076,47.405151,52.72597936
AD00022,649,632,4,0,78,0,5,0,0,0.750192373,0,0,0,0,61.41111741,0,0.657165332,63.41855144,60.53980503
AD00023,100,92,2,6,9,0,1,0,0,0.761976893,0,0,0,154,69.37091976,0,0.477686989,70.24368297,71.89944307
AD00024,276,292,0,0,34,0,3,0,0,0.758452812,0,0,0,0,51.12016561,0,0.789176223,73.8019572,71.88180624
AD00025,187,204,2,2,10,0,0,0,0,0.814784791,0,0,0,0,49.04247043,0,0.997077207,67.95404715,63.96266006
AD00026,95,88,0,1,12,0,5,0,0,0.769916032,0,0,0,0,68.53332452,0,0.695583179,79.51863215,76.64339948
AD00027,407,403,3,8,37,0,2,0,0,0.765988801,0,0,0,4216,61.94382858,0,0.653554495,55.33757816,57.40878855
AD00037,134,142,1,14,17,0,175,0,0,0.754767934,0,0,0,0,62.36435355,0,0.825455013,49.28620217,54.85957933
AD00038,301,309,0,7,37,0,1,0,0,0.769983364,0,0,0,1664,57.95893962,0,0.711920644,68.61134679,69.38308458
AD00039,271,307,0,0,27,0,0,0,0,0.836793504,0,0,0,0,41.87996059,0,0.991692715,73.32482076,67.52205911
AD00040,231,240,0,0,48,0,29,0,0,0.755730601,0,0,0,0,57.95549492,0,0.857496618,72.47327327,70.14894826
AD00041,324,347,0,0,45,0,40,0,0,0.747777399,0,0,0,0,62.98770789,0,0.779620093,67.72251347,67.35169306
AD00043,309,317,0,0,55,0,40,0,0,0.795496603,0,0,0,0,60.839608,0,0.743814056,68.86773353,68.16184282
AD00046,464,440,2,0,27,0,0,0,0,0.796901661,0,0,0,0,45.91920876,0,0.993258136,64.37003667,58.35516675
AD00048,345,379,1,0,54,0,21,0,0,0.728947474,0,0,0,0,61.45652273,0,0.758520689,66.67699314,66.03801448
AD00050,252,255,5,6,23,0,549,0,0,0.789393888,0,0,0,0,76.43174075,0,0.624187546,30.44806273,38.04697023
AD00053,264,281,0,0,65,0,115,0,0,0.78151681,0,0,0,0,51.89652286,0,0.921034187,60.87362295,59.06114138
AD00057,335,346,0,29,41,0,5,1,0,0.753548676,0,0,0,0,54.78166344,0,0.826395997,69.37307398,66.89794364
AD00058,291,319,0,13,26,0,0,0,0,0.771831371,0,0,0,0,47.90094524,0,0.998154259,71.69986958,66.82828975
